valid_time,latitude,longitude,t2m,number
1981-03-06,48.4,8.2,275.9886,0
1981-03-06,48.4,8.45,275.0465,0
1981-03-07,48.4,8.45,280.10483,0
1981-03-07,48.4,8.2,281.26117,0
1981-03-07,48.65,8.2,282.1228,0
1981-03-07,48.65,8.45,281.3225,0
1981-03-08,48.65,8.2,283.57916,0
1981-03-08,48.65,8.45,282.7951,0
1981-03-08,48.4,8.2,282.66428,0
1981-03-08,48.4,8.45,281.57477,0
1981-03-09,48.65,8.2,284.39777,0
1981-03-09,48.65,8.45,283.46686,0
1981-03-09,48.4,8.2,283.6632,0
1981-03-09,48.4,8.45,282.81326,0
1981-03-10,48.65,8.2,285.1716,0
1981-03-10,48.65,8.45,284.5022,0
1981-03-10,48.4,8.2,284.667,0
1981-03-10,48.4,8.45,284.0053,0
1981-03-11,48.4,8.45,286.266,0
1981-03-11,48.4,8.2,286.92804,0
1981-03-11,48.65,8.2,287.2946,0
1981-03-11,48.65,8.45,286.66678,0
1981-03-12,48.65,8.2,283.9148,0
1981-03-12,48.65,8.45,283.15674,0
1981-03-12,48.4,8.2,283.22107,0
1981-03-12,48.4,8.45,282.57648,0
1981-03-13,48.65,8.2,280.95892,0
1981-03-13,48.65,8.45,280.11282,0
1981-03-13,48.4,8.2,280.17215,0
1981-03-13,48.4,8.45,279.40024,0
1981-03-14,48.4,8.45,278.23975,0
1981-03-14,48.65,8.2,279.73413,0
1981-03-14,48.65,8.45,278.85443,0
1981-03-14,48.4,8.2,278.9808,0
1981-03-15,48.4,8.45,277.22,0
1981-03-15,48.4,8.2,277.87057,0
1981-03-15,48.65,8.2,278.39838,0
1981-03-15,48.65,8.45,277.62085,0
1981-03-16,48.65,8.2,276.99957,0
1981-03-16,48.65,8.45,276.3968,0
1981-03-16,48.4,8.2,276.36374,0
1981-03-16,48.4,8.45,275.7264,0
1981-03-17,48.4,8.2,274.52808,0
1981-03-17,48.65,8.2,275.32074,0
1981-03-17,48.65,8.45,274.68854,0
1981-03-17,48.4,8.45,273.91135,0
1981-03-18,48.4,8.45,272.82495,0
1981-03-18,48.4,8.2,273.52332,0
1981-03-18,48.65,8.45,273.60645,0
1981-03-18,48.65,8.2,274.23907,0
1981-03-19,48.65,8.2,276.2196,0
1981-03-19,48.65,8.45,275.25952,0
1981-03-19,48.4,8.2,275.25797,0
1981-03-19,48.4,8.45,274.25284,0
1981-03-20,48.65,8.2,278.82385,0
1981-03-20,48.65,8.45,278.3525,0
1981-03-20,48.4,8.2,278.6233,0
1981-03-20,48.4,8.45,277.96777,0
1981-03-21,48.4,8.2,282.4388,0
1981-03-21,48.4,8.45,281.66003,0
1981-03-21,48.65,8.2,282.9666,0
1981-03-21,48.65,8.45,282.4121,0
1981-03-22,48.65,8.2,283.20294,0
1981-03-22,48.65,8.45,282.54926,0
1981-03-22,48.4,8.2,282.4065,0
1981-03-22,48.4,8.45,281.50937,0
1981-03-23,48.65,8.2,283.01978,0
1981-03-23,48.65,8.45,282.35907,0
1981-03-23,48.4,8.2,282.66623,0
1981-03-23,48.4,8.45,282.0323,0
1981-03-24,48.4,8.45,284.7238,0
1981-03-24,48.65,8.2,285.83002,0
1981-03-24,48.65,8.45,284.99768,0
1981-03-24,48.4,8.2,285.4756,0
1981-03-25,48.4,8.2,288.13452,0
1981-03-25,48.4,8.45,287.4917,0
1981-03-25,48.65,8.2,288.5483,0
1981-03-25,48.65,8.45,287.786,0
1981-03-26,48.65,8.2,286.07333,0
1981-03-26,48.65,8.45,285.4486,0
1981-03-26,48.4,8.2,285.43982,0
1981-03-26,48.4,8.45,284.7371,0
1981-03-27,48.65,8.2,281.5938,0
1981-03-27,48.65,8.45,280.5903,0
1981-03-27,48.4,8.2,281.10355,0
1981-03-27,48.4,8.45,280.12683,0
1981-03-28,48.65,8.2,282.865,0
1981-03-28,48.65,8.45,282.14313,0
1981-03-28,48.4,8.2,282.71277,0
1981-03-28,48.4,8.45,281.8203,0
1981-03-29,48.4,8.45,285.45883,0
1981-03-29,48.4,8.2,285.9087,0
1981-03-29,48.65,8.2,286.03497,0
1981-03-29,48.65,8.45,285.49265,0
1981-03-30,48.65,8.2,284.91693,0
1981-03-30,48.65,8.45,284.54773,0
1981-03-30,48.4,8.2,284.12402,0
1981-03-30,48.4,8.45,283.7311,0
1981-03-31,48.65,8.2,284.632,0
1981-03-31,48.65,8.45,284.15164,0
1981-03-31,48.4,8.2,284.15918,0
1981-03-31,48.4,8.45,283.63843,0
1981-04-01,48.4,8.2,284.24698,0
1981-04-01,48.65,8.2,284.2868,0
1981-04-01,48.65,8.45,284.27124,0
1981-04-01,48.4,8.45,284.2239,0
1981-04-02,48.4,8.45,283.2341,0
1981-04-02,48.4,8.2,283.76666,0
1981-04-02,48.65,8.45,283.6601,0
1981-04-02,48.65,8.2,284.3452,0
1981-04-03,48.65,8.2,286.11426,0
1981-04-03,48.65,8.45,285.54968,0
1981-04-03,48.4,8.2,285.82037,0
1981-04-03,48.4,8.45,285.38086,0
1981-04-04,48.65,8.2,283.69315,0
1981-04-04,48.65,8.45,282.92126,0
1981-04-04,48.4,8.2,283.59662,0
1981-04-04,48.4,8.45,283.18018,0
1981-04-05,48.65,8.2,279.1723,0
1981-04-05,48.65,8.45,278.25894,0
1981-04-05,48.4,8.2,279.07898,0
1981-04-05,48.4,8.45,278.37326,0
1981-04-06,48.4,8.45,280.44424,0
1981-04-06,48.4,8.2,281.1911,0
1981-04-06,48.65,8.2,281.59723,0
1981-04-06,48.65,8.45,280.6427,0
1981-04-07,48.65,8.2,286.25183,0
1981-04-07,48.65,8.45,285.6912,0
1981-04-07,48.4,8.2,285.72388,0
1981-04-07,48.4,8.45,284.9084,0
1981-04-08,48.65,8.2,286.93683,0
1981-04-08,48.65,8.45,286.5134,0
1981-04-08,48.4,8.2,286.48694,0
1981-04-08,48.4,8.45,286.28745,0
1981-04-09,48.65,8.2,286.04114,0
1981-04-09,48.65,8.45,285.25208,0
1981-04-09,48.4,8.2,285.38068,0
1981-04-09,48.4,8.45,284.6469,0
1981-04-10,48.4,8.45,286.53094,0
1981-04-10,48.4,8.2,287.30856,0
1981-04-10,48.65,8.2,287.75473,0
1981-04-10,48.65,8.45,286.9895,0
1981-04-11,48.65,8.2,288.1829,0
1981-04-11,48.65,8.45,287.41473,0
1981-04-11,48.4,8.2,288.24265,0
1981-04-11,48.4,8.45,287.28073,0
1981-04-12,48.65,8.2,289.82898,0
1981-04-12,48.65,8.45,289.2282,0
1981-04-12,48.4,8.2,289.26825,0
1981-04-12,48.4,8.45,288.56082,0
1981-04-13,48.4,8.45,287.96378,0
1981-04-13,48.65,8.2,288.95636,0
1981-04-13,48.65,8.45,288.2365,0
1981-04-13,48.4,8.2,288.49127,0
1981-04-14,48.4,8.45,287.07562,0
1981-04-14,48.4,8.2,287.935,0
1981-04-14,48.65,8.2,288.7312,0
1981-04-14,48.65,8.45,287.69644,0
1981-04-15,48.65,8.2,287.2055,0
1981-04-15,48.65,8.45,286.16367,0
1981-04-15,48.4,8.2,287.1546,0
1981-04-15,48.4,8.45,286.3452,0
1981-04-16,48.4,8.2,284.4153,0
1981-04-16,48.65,8.2,284.5319,0
1981-04-16,48.65,8.45,283.49872,0
1981-04-16,48.4,8.45,283.5312,0
1981-04-17,48.4,8.45,277.34296,0
1981-04-17,48.4,8.2,278.61523,0
1981-04-17,48.65,8.45,277.71313,0
1981-04-17,48.65,8.2,278.90912,0
1981-04-18,48.65,8.2,276.36548,0
1981-04-18,48.65,8.45,275.1958,0
1981-04-18,48.4,8.2,275.8345,0
1981-04-18,48.4,8.45,274.601,0
1981-04-19,48.65,8.2,275.83875,0
1981-04-19,48.65,8.45,274.64276,0
1981-04-19,48.4,8.2,274.80704,0
1981-04-19,48.4,8.45,273.9359,0
1981-04-20,48.4,8.2,277.8071,0
1981-04-20,48.4,8.45,277.0877,0
1981-04-20,48.65,8.2,278.47614,0
1981-04-20,48.65,8.45,277.6278,0
1981-04-21,48.65,8.2,279.3831,0
1981-04-21,48.65,8.45,278.24286,0
1981-04-21,48.4,8.2,278.86584,0
1981-04-21,48.4,8.45,277.94318,0
1981-04-22,48.65,8.2,278.30963,0
1981-04-22,48.65,8.45,277.12085,0
1981-04-22,48.4,8.2,277.78424,0
1981-04-22,48.4,8.45,276.87268,0
1981-04-23,48.4,8.45,276.41028,0
1981-04-23,48.65,8.2,277.5948,0
1981-04-23,48.65,8.45,276.47144,0
1981-04-23,48.4,8.2,277.22998,0
1981-04-24,48.4,8.2,278.965,0
1981-04-24,48.4,8.45,277.88873,0
1981-04-24,48.65,8.2,279.11707,0
1981-04-24,48.65,8.45,278.004,0
1981-04-25,48.65,8.2,282.7801,0
1981-04-25,48.65,8.45,282.076,0
1981-04-25,48.4,8.2,282.68875,0
1981-04-25,48.4,8.45,281.7901,0
1981-04-26,48.65,8.2,280.41858,0
1981-04-26,48.65,8.45,280.185,0
1981-04-26,48.4,8.2,280.01013,0
1981-04-26,48.4,8.45,279.72107,0
1981-04-27,48.65,8.2,275.60153,0
1981-04-27,48.65,8.45,274.6667,0
1981-04-27,48.4,8.2,275.42416,0
1981-04-27,48.4,8.45,274.65558,0
1981-04-28,48.4,8.45,275.55865,0
1981-04-28,48.4,8.2,276.2297,0
1981-04-28,48.65,8.45,275.62796,0
1981-04-28,48.65,8.2,276.6218,0
1981-04-29,48.65,8.2,278.106,0
1981-04-29,48.65,8.45,277.16507,0
1981-04-29,48.4,8.2,277.53308,0
1981-04-29,48.4,8.45,276.84042,0
1981-04-30,48.65,8.2,281.61166,0
1981-04-30,48.65,8.45,280.81796,0
1981-04-30,48.4,8.2,281.0315,0
1981-04-30,48.4,8.45,280.38495,0
1981-05-01,48.4,8.45,280.6844,0
1981-05-01,48.65,8.2,281.6783,0
1981-05-01,48.65,8.45,280.9494,0
1981-05-01,48.4,8.2,281.32495,0
