valid_time,latitude,longitude,tp,number
1981-03-26,48.65,8.2,0.011214867,0
1981-03-26,48.65,8.45,0.01012507,0
1981-03-26,48.4,8.2,0.010886724,0
1981-03-26,48.4,8.45,0.010058226,0
1981-03-27,48.65,8.2,1.906401e-07,0
1981-03-27,48.65,8.45,2.3841767e-07,0
1981-03-27,48.4,8.2,6.1940864e-07,0
1981-03-27,48.4,8.45,1.4300804e-07,0
1981-03-28,48.65,8.2,0.0,0
1981-03-28,48.65,8.45,0.0,0
1981-03-28,48.4,8.2,0.0,0
1981-03-28,48.4,8.45,0.0,0
1981-03-29,48.4,8.45,0.00015990385,0
1981-03-29,48.4,8.2,0.00011741971,0
1981-03-29,48.65,8.2,0.00012979885,0
1981-03-29,48.65,8.45,0.0002166009,0
1981-03-30,48.65,8.2,0.0034339472,0
1981-03-30,48.65,8.45,0.0033439135,0
1981-03-30,48.4,8.2,0.0036431823,0
1981-03-30,48.4,8.45,0.003381699,0
1981-03-31,48.65,8.2,0.0005935169,0
1981-03-31,48.65,8.45,0.00030452793,0
1981-03-31,48.4,8.2,0.0003545721,0
1981-03-31,48.4,8.45,0.00022956138,0
1981-04-01,48.4,8.2,0.00017967424,0
1981-04-01,48.65,8.2,8.992506e-05,0
1981-04-01,48.65,8.45,2.3586379e-05,0
1981-04-01,48.4,8.45,3.3711916e-05,0
1981-04-02,48.4,8.45,3.9000763e-05,0
1981-04-02,48.4,8.2,4.5280023e-05,0
1981-04-02,48.65,8.45,7.247446e-05,0
1981-04-02,48.65,8.2,5.2807787e-05,0
1981-04-03,48.65,8.2,1.4879832e-05,0
1981-04-03,48.65,8.45,1.5457324e-05,0
1981-04-03,48.4,8.2,4.125433e-05,0
1981-04-03,48.4,8.45,6.581636e-05,0
1981-04-04,48.65,8.2,0.0007469964,0
1981-04-04,48.65,8.45,0.00066805095,0
1981-04-04,48.4,8.2,0.0011030701,0
1981-04-04,48.4,8.45,0.0012702039,0
1981-04-05,48.65,8.2,0.00013153291,0
1981-04-05,48.65,8.45,0.00019191242,0
1981-04-05,48.4,8.2,0.0002280847,0
